vendor_id,vendor_name,brand_name,category,component,origin_country,origin_port,destination_port,transport_mode,route_name,base_lead_days,historical_variance_pct,panama_canal_exposure,suez_canal_exposure,savannah_port_exposure,west_africa_port_exposure,hrmz_exposure
V002,Frederick's Ingredients,Frederick's,Personal Care,Shea Butter,Indonesia,Jakarta,Los Angeles,Ocean Freight,Trans-Pacific,35,23.5,0,0,0,0,0
V004,NatureBest Botanicals,NatureBest,Confectionery/Food,Vanilla Extract,Ivory Coast,Abidjan,New York,Ocean Freight,West Africa-Atlantic,85,13.0,0,0,0,1,0
V001,True Brand Textiles,True,Confectionery/Food,Vanilla Extract,India,Mumbai,New York,Ocean Freight,Asia-East Coast,89,20.7,1,0,1,0,1
V008,Nordic Wood Products,Casa Home,Wood/Furniture,Veneer,Italy,Genoa,New York,Ocean Freight,Europe-East Coast,39,8.8,0,1,0,0,0
V004,NatureBest Botanicals,NatureBest,Apparel/Textiles,Cotton,Oman,Salalah,Savannah,Ocean Freight,Middle East-Atlantic,33,16.7,0,1,1,0,1
V003,Casa Home Sourcing,Casa Home,Apparel/Textiles,Cotton,China,Shanghai,Los Angeles,Ocean Freight,Trans-Pacific,73,22.2,0,0,0,0,0
V007,Equatorial Ag Supply,Frederick's,Apparel/Textiles,Spandex Fiber,UAE,Jebel Ali,Savannah,Ocean Freight,Middle East-Atlantic,56,18.1,0,1,1,0,1
V006,Global Threads Co.,True,Wood/Furniture,Hardwood Lumber,Italy,Genoa,New York,Ocean Freight,Europe-East Coast,45,10.3,0,1,0,0,0
V003,Casa Home Sourcing,Casa Home,Wood/Furniture,Veneer,Brazil,Santos,Miami,Ocean Freight,South America-Atlantic,59,17.4,0,0,1,0,0
V002,Frederick's Ingredients,Frederick's,Apparel/Textiles,Spandex Fiber,Oman,Salalah,Savannah,Ocean Freight,Middle East-Atlantic,89,12.0,0,1,1,0,1
V002,Frederick's Ingredients,Frederick's,Confectionery/Food,Palm Oil,Ghana,Tema,Baltimore,Ocean Freight,West Africa-Atlantic,83,15.9,0,0,0,1,0
V005,EcoSource Pack,EcoSource,Packaging,Recycled Cardboard,Oman,Salalah,Savannah,Ocean Freight,Middle East-Atlantic,90,22.6,0,1,1,0,1
V005,EcoSource Pack,EcoSource,Apparel/Textiles,Cotton,UAE,Jebel Ali,New York,Ocean Freight,Middle East-Atlantic,48,17.1,0,1,1,0,1
V006,Global Threads Co.,True,Confectionery/Food,Palm Oil,Colombia,Cartagena,Savannah,Ocean Freight,South America-Atlantic,87,23.2,0,0,1,0,0
V001,True Brand Textiles,True,Apparel/Textiles,Denim Fabric,Bangladesh,Chittagong,Savannah,Ocean Freight,Asia-East Coast,51,20.4,1,0,1,0,1
V005,EcoSource Pack,EcoSource,Confectionery/Food,Vanilla Extract,Colombia,Cartagena,Miami,Ocean Freight,South America-Atlantic,37,6.5,0,0,1,0,0
V003,Casa Home Sourcing,Casa Home,Packaging,Recycled Cardboard,China,Shenzhen,Savannah,Ocean Freight,Asia-East Coast,57,7.5,1,0,1,0,1
V005,EcoSource Pack,EcoSource,Wood/Furniture,Wood Pulp,Brazil,Santos,Miami,Ocean Freight,South America-Atlantic,72,7.1,0,0,1,0,0
V007,Equatorial Ag Supply,Frederick's,Packaging,Glass Cullet,China,Shanghai,Los Angeles,Ocean Freight,Trans-Pacific,86,13.2,0,0,0,0,0
V003,Casa Home Sourcing,Casa Home,Wood/Furniture,Veneer,Italy,Genoa,Baltimore,Ocean Freight,Europe-East Coast,47,8.2,0,1,0,0,0
V002,Frederick's Ingredients,Frederick's,Personal Care,Shea Butter,Brazil,Santos,Miami,Ocean Freight,South America-Atlantic,82,23.4,0,0,1,0,0
